"spect3" "spect5" "spect6"
"chr1_63414673" 6 8 7
"chr1_63419765" 1 2 8
"chr1_63423408" 10 12 11
"chr1_63464483" 6 8 10
"chr1_63469588" 9 16 13
"chr1_63475751" 13 20 19
"chr1_63495002" 2 3 4
"chr1_63498480" 7 9 11
"chr1_63505689" 21 28 26
"chr1_63544615" 4 6 8
"chr1_63546542" 1 1 2
"chr1_63548050" 2 3 3
"chr1_63551895" 18 34 35
"chr1_63603998" 6 8 8
"chr1_63606164" 1 1 1
"chr1_63609283" 1 2 2
"chr1_63611585" 1 1 1
"chr1_63629971" 3 6 6
"chr1_63634579" 1 1 2
"chr1_63638206" 13 15 13
"chr1_63644425" 4 5 6
"chr1_63646318" 4 6 7
"chr1_63652385" 3 3 4
"chr1_63654264" 21 33 34
"chr1_63662503" 11 16 13
"chr1_63664781" 12 15 16
"chr1_63683156" 9 12 10
"chr1_63685427" 6 8 12
"chr1_63687173" 3 4 4
"chr1_63691105" 8 17 22
"chr1_63693000" 1 1 3
"chr1_63694848" 2 2 2
"chr1_63698677" 14 16 17
"chr1_63700408" 50 68 68
"chr1_63702752" 9 13 13
"chr1_63710928" 2 3 8
"chr1_63716047" 8 15 17
"chr1_63721445" 2 2 2
"chr1_63723597" 36 45 44
"chr1_63741844" 2 4 3
"chr1_63749357" 2 3 2
"chr1_63751430" 1 1 1
"chr1_63753374" 1 1 5
"chr1_63756520" 2 2 2
"chr1_63759441" 4 6 8
"chr1_63761758" 1 1 1
"chr1_63763747" 2 3 2
"chr1_63768883" 26 37 39
"chr1_63772070" 25 43 39
"chr1_63787997" 3 4 6
"chr1_63790372" 8 13 13
"chr1_63792653" 5 7 5
"chr1_63796594" 6 8 9
"chr1_63802346" 7 12 11
"chr1_63817037" 45 70 68
"chr1_63820078" 32 58 54
"chr1_63840591" 39 56 57
"chr1_63843445" 4 6 4
"chr1_63845714" 17 21 24
"chr1_63849636" 41 50 51
"chr1_63851477" 11 15 16
"chr1_63855688" 2 2 3
"chr1_63858892" 13 16 17
"chr1_63862367" 19 28 24
"chr1_63864315" 24 27 28
"chr1_63913584" 26 38 43
"chr1_63917489" 3 5 6
"chr1_63920731" 3 4 3
"chr1_63923742" 25 33 35
"chr1_63925633" 2 2 4
"chr1_63927215" 2 2 3
"chr1_63929215" 8 9 9
"chr1_63930735" 16 20 19
"chr1_63932969" 4 7 7
"chr1_63936820" 12 15 13
"chr1_63943485" 13 15 15
"chr1_63974803" 1 1 1
"chr1_63978977" 18 22 19
"chr1_63981917" 27 31 31
"chr1_63991904" 2 3 2
"chr1_63995072" 3 4 3
"chr1_64017510" 36 61 57
"chr1_64025275" 21 29 31
"chr1_64034059" 3 5 5
"chr1_64036439" 1 1 1
"chr1_64037715" 35 63 51
"chr1_64044802" 37 47 45
"chr1_64047460" 19 24 22
"chr1_64056121" 20 39 34
"chr1_64062727" 4 6 8
"chr1_64067547" 1 2 2
"chr1_64090085" 15 25 29
"chr1_64100222" 6 10 13
"chr1_64103202" 1 2 1
"chr1_64106603" 3 5 5
"chr1_64116863" 1 1 1
"chr1_64120807" 1 1 1
"chr1_64130337" 12 25 27
"chr1_64133982" 2 2 2
"chr1_64138558" 2 2 2
"chr1_64143241" 5 7 7
"chr1_64144767" 4 6 5
"chr1_64147840" 7 12 9
"chr1_64152445" 1 1 1
"chr1_64169241" 2 4 3
"chr1_64205289" 34 46 49
"chr1_64207428" 10 13 13
"chr1_64222755" 4 6 6
"chr1_64225007" 6 8 9
"chr1_64226776" 1 1 2
"chr1_64240214" 1 1 1
"chr1_64251889" 5 8 7
"chr1_64258099" 5 7 7
"chr1_64262261" 4 5 4
"chr1_64265437" 1 1 1
"chr1_64268541" 51 62 63
"chr1_64271398" 1 1 1
"chr1_64277232" 19 25 22
"chr1_64279277" 58 69 66
"chr1_64283897" 22 31 34
"chr1_64321031" 3 4 5
"chr1_64325395" 3 3 3
"chr1_64348160" 5 7 9
"chr1_64354370" 3 4 4
"chr1_64355585" 2 2 2
"chr1_64357793" 5 7 7
"chr1_64363341" 3 4 4
"chr1_64367992" 19 27 30
"chr1_64373654" 2 2 2
"chr1_64375896" 50 60 62
"chr1_64380539" 15 21 23
"chr1_64409337" 2 2 2
"chr1_64411641" 10 12 10
"chr1_64423391" 3 4 6
"chr1_64428060" 15 20 18
"chr1_64431341" 2 3 2
"chr1_64433321" 4 6 5
"chr1_64435886" 12 15 14
"chr1_64439678" 40 46 45
"chr1_64455283" 17 27 33
"chr1_64458444" 34 46 45
"chr1_64461535" 2 4 8
"chr1_64463925" 5 7 9
"chr1_64465354" 1 1 1
"chr1_64468278" 9 13 17
"chr1_64470284" 6 8 13
"chr1_64477546" 3 4 3
"chr1_64483809" 2 3 5
"chr1_64488872" 3 4 3
"chr1_64491136" 6 8 9
"chr1_64498184" 11 19 27
"chr1_64502881" 2 2 3
"chr1_64505908" 5 7 5
"chr1_64508189" 14 16 16
"chr1_64510770" 1 1 2
"chr1_64516343" 1 1 2
"chr1_64518474" 19 24 31
"chr1_64529911" 7 8 8
"chr1_64534525" 1 1 1
"chr1_64539548" 10 13 16
"chr1_64542034" 3 4 3
"chr1_64557136" 17 24 21
"chr1_64572192" 21 27 26
"chr1_64574489" 1 1 1
"chr1_64578376" 10 15 17
"chr1_64580979" 21 26 25
"chr1_64583520" 2 3 2
"chr1_64589604" 19 28 22
"chr1_64599891" 2 3 2
"chr1_64604809" 35 48 52
"chr1_64611247" 6 7 6
"chr1_64654264" 3 5 5
"chr1_64658388" 6 7 8
"chr1_64660344" 2 2 2
"chr1_64689043" 7 12 14
"chr1_64716513" 7 8 9
"chr1_64720429" 1 1 1
"chr1_64722738" 2 2 4
"chr1_64725289" 27 33 35
"chr1_64743107" 9 14 15
"chr1_64746341" 3 4 4
"chr1_64751491" 1 2 1
"chr1_64753988" 2 3 2
"chr1_64756251" 1 1 3
"chr1_64758409" 1 1 1
"chr1_64787701" 4 4 4
"chr1_64794727" 1 1 1
"chr1_64797531" 1 1 1
"chr1_64805038" 10 12 10
"chr1_64811055" 30 36 36
"chr1_64819483" 1 1 1
"chr1_64830510" 16 19 21
"chr1_64838107" 3 4 4
"chr1_64849992" 16 21 25
"chr1_64866541" 3 4 3
"chr1_64881907" 14 18 19
"chr1_64890147" 3 5 4
"chr1_64989395" 6 13 10
"chr1_65033085" 5 11 8
"chr1_65036583" 2 2 2
"chr1_65073145" 1 2 2
"chr1_65097505" 2 4 4
"chr1_65115616" 49 67 73
"chr1_65157572" 1 1 1
"chr1_65160898" 1 2 1
"chr1_65164019" 3 4 5
"chr1_65178569" 2 4 3
"chr1_65254079" 1 1 1
"chr1_65263430" 2 2 2
"chr1_65295346" 1 1 1
"chr1_65297286" 18 23 23
"chr1_65299203" 1 1 4
"chr1_65301787" 26 34 35
"chr1_65317405" 1 1 1
"chr1_65320871" 1 1 1
"chr1_65324811" 4 4 5
"chr1_65326801" 4 5 4
"chr1_65329363" 3 4 3
"chr1_65333423" 1 1 2
"chr1_65352774" 1 1 1
"chr1_65356010" 4 5 4
"chr1_65363217" 13 20 17
"chr1_65365639" 1 1 1
"chr1_65409678" 38 47 52
"chr1_65412333" 28 52 48
"chr1_65416269" 1 1 1
"chr1_65427328" 2 3 3
"chr1_65429528" 24 52 51
"chr1_65449513" 1 1 2
"chr1_65465243" 1 1 1
"chr1_65478037" 14 19 20
"chr1_65482151" 1 1 1
"chr1_65485531" 7 10 8
"chr1_65488671" 3 4 4
"chr1_65491787" 2 3 3
"chr1_65507805" 1 1 1
"chr1_65542171" 2 2 4
"chr1_65553711" 1 2 2
"chr1_65566821" 8 12 8
"chr1_65590884" 1 1 2
"chr1_65601808" 48 63 66
"chr1_65605284" 12 16 15
"chr1_65622939" 1 2 1
"chr1_65663998" 7 14 21
"chr1_65670085" 5 8 6
"chr1_65679197" 4 6 6
"chr1_65682083" 3 6 3
"chr1_65688314" 3 4 4
"chr1_65694873" 3 4 4
"chr1_65696334" 18 23 20
"chr1_65698865" 1 1 2
"chr1_65700287" 9 11 9
"chr1_65702390" 10 17 16
"chr1_65705712" 39 48 47
"chr1_65724561" 3 4 5
"chr1_65726318" 19 25 26
"chr1_65758192" 3 4 3
"chr1_65762436" 3 4 4
"chr1_65772682" 22 35 31
"chr1_65776891" 10 12 16
"chr1_65778939" 42 49 46
"chr1_65781522" 29 35 37
"chr1_65808876" 1 1 1
"chr1_65811054" 1 2 1
"chr1_65816078" 25 31 28
"chr1_65818448" 1 2 4
"chr1_65822006" 1 1 1
"chr1_65829838" 23 29 26
"chr1_65833832" 2 2 2
"chr1_65838455" 36 41 44
"chr1_65863531" 1 1 3
"chr1_65865732" 35 43 38
"chr1_65867772" 4 5 6
"chr1_65885971" 1 1 1
"chr1_65888650" 24 31 31
"chr1_65897063" 3 4 4
"chr1_65899817" 35 46 47
"chr1_65906342" 3 4 3
"chr1_65911922" 16 25 23
"chr1_65926289" 1 1 2
"chr1_65929440" 3 4 3
"chr1_65944720" 32 40 41
"chr1_65947287" 32 41 41
"chr1_65950636" 14 21 24
"chr1_65963309" 4 5 6
"chr1_65967924" 2 3 2
"chr1_65970393" 33 46 46
"chr1_65972398" 1 1 1
"chr1_65975209" 4 5 4
"chr1_65989079" 23 33 42
"chr1_65990923" 3 3 3
"chr1_66003104" 1 1 2
"chr1_66005100" 25 31 29
"chr1_66006920" 29 37 36
"chr1_66011227" 1 1 1
"chr1_66019651" 3 4 4
"chr1_66022181" 8 12 10
"chr1_66026147" 1 2 5
"chr1_66031658" 3 5 3
"chr1_66035286" 1 1 5
"chr1_66050218" 2 2 2
"chr1_66063281" 49 59 59
"chr1_66066922" 32 39 40
"chr1_66070009" 6 8 7
"chr1_66074767" 6 10 8
"chr1_66085883" 2 3 2
"chr1_66124713" 2 3 2
"chr1_66127204" 1 1 1
"chr1_66130786" 44 65 63
"chr1_66137803" 2 2 2
"chr1_66142666" 8 9 8
"chr1_66145515" 2 2 2
"chr1_66155868" 52 67 67
"chr1_66159245" 1 1 3
"chr1_66161650" 13 17 17
"chr1_66169841" 21 25 24
"chr1_66176047" 11 14 12
"chr1_66181222" 6 9 6
"chr1_66184555" 5 6 6
"chr1_66189710" 4 5 7
"chr1_66196385" 1 1 2
"chr1_66212252" 4 5 6
"chr1_66219346" 1 1 1
"chr1_66220860" 15 19 23
"chr1_66251846" 1 1 1
"chr1_66253539" 6 7 6
"chr1_66259671" 17 20 18
"chr1_66261352" 6 8 7
"chr1_66289338" 4 6 6
"chr1_66312335" 55 65 69
"chr1_66315652" 15 19 18
"chr1_66318114" 20 31 28
"chr1_66320722" 20 34 30
"chr1_66324188" 2 2 2
"chr1_66332853" 21 28 27
"chr1_66336007" 8 11 11
"chr1_66338370" 6 8 7
"chr1_66348139" 13 16 18
"chr1_66392765" 3 5 12
"chr1_66394522" 8 10 11
"chr1_66405538" 63 73 72
"chr1_66413611" 41 54 50
"chr1_66415468" 3 5 6
"chr1_66427413" 3 4 3
"chr1_66433453" 24 32 31
"chr1_66435097" 7 10 12
"chr1_66436885" 2 3 5
"chr1_66438733" 9 12 10
"chr1_66440494" 35 45 46
"chr1_66442800" 34 40 43
"chr1_66453775" 10 14 12
"chr1_66456632" 1 2 2
"chr1_66480906" 34 69 70
"chr1_66482311" 11 15 18
"chr1_66484277" 7 13 12
"chr1_66487649" 2 3 4
"chr1_66490848" 3 4 5
"chr1_66504840" 1 1 1
"chr1_66506913" 1 1 2
"chr1_66511071" 2 3 2
"chr1_66514501" 1 1 1
"chr1_66520366" 16 19 18
"chr1_66527441" 4 5 5
"chr1_66529546" 1 1 2
"chr1_66532202" 8 10 10
"chr1_66536083" 1 1 1
"chr1_66537629" 1 1 1
"chr1_66542222" 5 6 5
"chr1_66546720" 3 4 4
"chr1_66548440" 1 1 3
"chr1_66550211" 28 37 39
"chr1_66562397" 1 1 1
"chr1_66600061" 1 1 3
"chr1_66602504" 35 42 44
"chr1_66604530" 2 2 2
"chr1_66641003" 1 2 2
"chr1_66646330" 6 8 7
"chr1_66649571" 2 3 3
"chr1_66656667" 11 16 17
"chr1_66658357" 4 5 4
"chr1_66666535" 9 12 11
"chr1_66668548" 1 1 1
"chr1_66696069" 5 7 8
"chr1_66697599" 19 25 25
"chr1_66711018" 1 1 1
"chr1_66714197" 1 1 1
"chr1_66734694" 3 4 4
"chr1_66739023" 2 3 5
"chr1_66749887" 2 4 6
"chr1_66753232" 1 1 1
"chr1_66758560" 8 10 13
"chr1_66761063" 1 1 1
"chr1_66764945" 23 30 30
"chr1_66767064" 4 5 6
"chr1_66769392" 4 5 4
"chr1_66790613" 3 5 4
"chr1_66815185" 3 4 3
"chr1_66817697" 2 3 4
"chr1_66830824" 9 10 10
"chr1_66833506" 36 46 45
"chr1_66835803" 23 36 32
"chr1_66842068" 1 1 2
"chr1_66848509" 8 11 11
"chr1_66872244" 2 2 3
"chr1_66874413" 1 1 3
"chr1_66895010" 3 4 7
"chr1_66903530" 3 6 9
"chr1_66924063" 34 43 40
"chr1_66926379" 3 4 4
"chr1_66935935" 2 3 4
"chr1_66950224" 52 62 61
"chr1_66953018" 3 3 3
"chr1_66956477" 2 3 3
"chr1_66961210" 12 18 19
"chr1_66973123" 50 65 64
"chr1_66974856" 7 10 8
"chr1_66980029" 3 4 6
"chr1_66990525" 19 28 28
"chr1_67004176" 14 19 16
"chr1_67009857" 3 5 9
"chr1_67011466" 4 6 4
"chr1_67013124" 4 6 6
"chr1_67014659" 13 20 25
"chr1_67030092" 10 14 11
"chr1_67033287" 1 1 1
"chr1_67035681" 2 3 4
"chr1_67067114" 1 2 2
"chr1_67069896" 1 2 1
"chr1_67073706" 8 11 12
"chr1_67082548" 6 8 7
"chr1_67084707" 18 22 22
"chr1_67123245" 9 12 13
"chr1_67127780" 2 4 6
"chr1_67132568" 3 4 3
"chr1_67135274" 35 52 52
"chr1_67137593" 10 13 14
"chr1_67139567" 1 1 1
"chr1_67150338" 47 55 58
"chr1_67152260" 7 10 7
"chr1_67155698" 11 14 14
"chr1_67173072" 31 36 35
"chr1_67174504" 6 9 7
"chr1_67176478" 1 1 2
"chr1_67179155" 50 66 62
"chr1_67201498" 2 3 2
"chr1_67204200" 2 3 2
"chr1_67213970" 4 5 4
"chr1_67245320" 7 9 8
"chr1_67251712" 2 3 3
"chr1_67253521" 5 6 6
"chr1_67271597" 3 4 6
"chr1_67278090" 3 4 3
"chr1_67313175" 1 1 1
"chr1_67315694" 1 1 1
"chr1_67327106" 52 72 67
"chr1_67332543" 5 7 6
"chr1_67339501" 3 4 3
"chr1_67344963" 14 18 19
"chr1_67367612" 3 4 7
"chr1_67372450" 4 5 5
"chr1_67383580" 53 66 64
"chr1_67392099" 2 3 2
"chr1_67397243" 2 2 2
"chr1_67403523" 1 1 3
"chr1_67405735" 48 55 52
"chr1_67427312" 1 1 1
"chr1_67431552" 1 1 3
"chr1_67434724" 1 1 1
"chr1_67449351" 2 4 4
"chr1_67495664" 3 4 3
"chr1_67506412" 2 2 3
"chr1_67511281" 3 4 7
"chr1_67535428" 5 6 8
"chr1_67540732" 55 72 69
"chr1_67544689" 1 2 4
"chr1_67554297" 5 6 6
"chr1_67570803" 1 1 1
"chr1_67574085" 1 1 1
"chr1_67632159" 1 1 2
"chr1_67651764" 1 1 1
"chr1_67657169" 1 1 1
"chr1_67661066" 25 33 30
"chr1_67676702" 1 1 1
"chr1_67678861" 1 1 2
"chr1_67682264" 9 13 17
"chr1_67689240" 1 1 2
"chr1_67693606" 16 19 22
"chr1_67709353" 1 1 1
"chr1_67714510" 45 53 50
"chr1_67740108" 2 2 3
"chr1_67744164" 4 5 4
"chr1_67747573" 4 5 4
"chr1_67783143" 10 14 16
"chr1_67796281" 1 1 1
"chr1_67806975" 11 13 13
"chr1_67820635" 3 4 3
"chr1_67871725" 1 1 3
"chr1_67874348" 2 2 3
"chr1_67879364" 1 1 2
"chr1_67881950" 2 3 3
"chr1_67886964" 1 1 2
"chr1_67889427" 3 4 4
"chr1_67893275" 1 1 1
"chr1_67919926" 10 12 13
"chr1_67955340" 1 1 3
"chr1_67958053" 25 28 28
"chr1_67972241" 1 1 1
"chr1_67975335" 3 4 3
"chr1_67989732" 2 2 2
"chr1_67994930" 8 11 8
"chr1_67998303" 7 11 8
"chr1_68011126" 4 5 4
"chr1_68039018" 32 39 37
"chr1_68047741" 1 1 1
"chr1_68076000" 1 1 1
"chr1_68086358" 1 1 1
"chr1_68088969" 27 32 31
"chr1_68095046" 3 4 3
"chr1_68112599" 33 40 43
"chr1_68115179" 1 1 1
"chr1_68140607" 7 8 10
"chr1_68143404" 1 1 1
"chr1_68153028" 1 1 1
"chr1_68161647" 5 6 9
"chr1_68168378" 4 5 6
"chr1_68179669" 4 5 7
"chr1_68205999" 2 2 3
"chr1_68219180" 4 5 9
"chr1_68236093" 2 2 3
"chr1_68242156" 2 3 2
"chr1_68247654" 28 34 33
"chr1_68256457" 1 1 2
"chr1_68283281" 4 6 4
"chr1_68295414" 1 1 1
"chr1_68304686" 2 2 2
"chr1_68310045" 3 5 6
"chr1_68341959" 11 16 15
"chr1_68362301" 1 1 1
"chr1_68379824" 13 17 19
"chr1_68382523" 1 1 2
"chr1_68388541" 1 1 1
"chr1_68391246" 37 49 48
"chr1_68402281" 2 3 2
"chr1_68410829" 2 2 4
"chr1_68417513" 1 1 1
"chr1_68421403" 30 37 37
"chr1_68424528" 1 1 1
"chr1_68430896" 2 2 5
"chr1_68472454" 6 11 14
"chr1_68474783" 13 28 25
"chr1_68476294" 1 2 1
"chr1_68478976" 2 3 3
"chr1_68500162" 15 18 22
"chr1_68501467" 1 1 3
"chr1_68504052" 14 15 15
"chr1_68512230" 1 1 2
"chr1_68530303" 5 6 6
"chr1_68554347" 13 20 20
"chr1_68558498" 7 9 10
"chr1_68560787" 16 22 20
"chr1_68563856" 3 4 5
"chr1_68571120" 5 7 9
"chr1_68574266" 1 2 2
"chr1_68582090" 2 4 4
"chr1_68588607" 8 11 10
"chr1_68592504" 1 1 1
"chr1_68594251" 3 4 5
"chr1_68598596" 1 1 4
"chr1_68603199" 1 1 1
"chr1_68605679" 15 21 18
"chr1_68612573" 49 64 60
"chr1_68614496" 1 1 1
"chr1_68616271" 12 23 28
"chr1_68619855" 17 23 28
"chr1_68622325" 43 49 51
"chr1_68654208" 6 11 13
"chr1_68658703" 4 5 6
"chr1_68685840" 2 3 4
"chr1_68744129" 14 18 17
"chr1_68746254" 1 1 3
"chr1_68748517" 9 12 16
"chr1_68758433" 2 3 3
"chr1_68759534" 2 3 2
"chr1_68760688" 18 25 28
"chr1_68761977" 47 60 65
"chr1_68763795" 4 6 6
"chr1_68764905" 17 23 20
"chr1_68812827" 5 6 6
"chr1_68818096" 6 9 6
"chr1_68819976" 16 23 21
"chr1_68821316" 18 26 23
"chr1_68874360" 24 33 32
"chr1_68875846" 1 1 1
"chr1_68876891" 13 17 13
"chr1_68877975" 7 11 13
"chr1_68879321" 12 22 23
"chr1_68880565" 6 9 13
"chr1_68881785" 1 2 6
"chr1_68882983" 11 20 19
"chr1_68884035" 9 11 12
"chr1_68885158" 2 3 2
"chr1_68890229" 14 22 28
"chr1_68891228" 8 14 13
"chr1_68893286" 4 5 5
"chr1_68920328" 5 7 6
"chr1_68923560" 12 19 20
"chr1_68926235" 1 2 2
"chr1_68929128" 11 13 15
"chr1_68945580" 26 47 44
"chr1_68978235" 16 30 23
"chr1_68983165" 3 5 3
"chr1_68985408" 6 10 10
"chr1_68987466" 6 9 12
"chr1_68989700" 21 26 27
"chr1_68992195" 1 1 1
"chr1_68994178" 2 3 4
"chr1_69012472" 11 17 14
"chr1_69014736" 1 2 4
"chr1_69019700" 25 28 29
"chr1_69033343" 11 12 12
"chr1_69038206" 54 62 59
"chr1_69055973" 3 4 7
"chr1_69057620" 13 24 24
"chr1_69064306" 8 17 17
"chr1_69069574" 1 2 2
"chr1_69072179" 12 21 26
"chr1_69074966" 6 7 6
"chr1_69080060" 44 69 65
"chr1_69083159" 13 18 17
"chr1_69085464" 2 3 4
"chr1_69091264" 1 1 1
"chr1_69094726" 24 40 37
"chr1_69097600" 7 8 7
"chr1_69099606" 4 5 4
"chr1_69102126" 1 1 1
"chr1_69104393" 1 2 1
"chr1_69109886" 3 3 5
"chr1_69111318" 15 18 17
"chr1_69112792" 16 19 19
"chr1_69123963" 1 1 2
"chr1_69135837" 5 6 5
"chr1_69144672" 8 11 11
"chr1_69146223" 2 2 4
"chr1_69148257" 1 1 2
"chr1_69153074" 27 39 43
"chr1_69156348" 49 68 62
"chr1_69160119" 39 63 60
"chr1_69162845" 3 5 5
"chr1_69178250" 1 1 1
"chr1_69180800" 1 1 1
"chr1_69185412" 1 1 1
"chr1_69187071" 51 73 67
"chr1_69190082" 1 1 2
"chr1_69191536" 14 18 19
"chr1_69192948" 2 3 3
"chr1_69200832" 15 20 21
"chr1_69202965" 5 6 5
"chr1_69207063" 3 5 6
"chr1_69212637" 4 7 14
"chr1_69214269" 39 60 62
"chr1_69217040" 5 7 5
"chr1_69238821" 1 1 2
"chr1_69241620" 6 7 9
"chr1_69244377" 5 7 7
"chr1_69249986" 1 2 1
"chr1_69251566" 6 8 8
"chr1_69253024" 3 4 6
"chr1_69254257" 1 1 1
"chr1_69259652" 6 8 7
"chr1_69269648" 42 47 47
"chr1_69308007" 27 38 36
"chr1_69411053" 2 3 3
"chr1_69486639" 5 8 10
"chr1_69487894" 26 52 46
"chr1_69497831" 17 34 37
"chr1_69502523" 41 52 52
"chr1_69503899" 19 23 25
"chr1_69506775" 2 2 3
"chr1_69508222" 2 3 3
"chr1_69509806" 4 5 4
"chr1_69516057" 10 16 15
"chr1_69517204" 2 2 3
"chr1_69519710" 1 1 1
"chr1_69522925" 1 1 1
"chr1_69524511" 5 6 7
"chr1_69543437" 11 17 19
"chr1_69550436" 4 5 5
"chr1_69560667" 6 7 6
"chr1_69561872" 1 2 7
"chr1_69565173" 42 60 60
"chr1_69604507" 2 2 2
"chr1_69608191" 1 1 1
"chr1_69620447" 3 4 4
"chr1_69643422" 3 4 6
"chr1_69664273" 2 2 2
"chr1_69681572" 2 4 4
"chr1_69687736" 14 19 20
"chr1_69707511" 3 4 3
"chr1_69749013" 6 8 8
"chr1_69852312" 3 3 4
"chr1_69881225" 1 1 1
"chr1_69887916" 1 1 1
"chr1_69893324" 4 5 4
"chr1_69933525" 1 1 1
"chr1_69955963" 3 4 6
"chr1_70013816" 3 5 4
"chr1_70028796" 7 11 8
"chr1_70033695" 7 9 12
"chr1_70041086" 6 7 8
"chr1_70073300" 5 6 5
"chr1_70093353" 2 2 2
"chr1_70101138" 25 31 35
"chr1_70112214" 1 1 2
"chr1_70151528" 14 19 18
"chr1_70153356" 14 16 16
"chr1_70155320" 9 13 18
"chr1_70157609" 13 16 19
"chr1_70159129" 1 1 2
"chr1_70160753" 5 6 6
"chr1_70166562" 10 13 15
"chr1_70202095" 2 3 3
"chr1_70207886" 2 2 2
"chr1_70213625" 6 7 9
"chr1_70217371" 3 6 8
"chr1_70225666" 2 3 3
"chr1_70230732" 14 17 17
"chr1_70232457" 7 9 10
"chr1_70235755" 10 12 13
"chr1_70237979" 17 33 34
"chr1_70239951" 12 16 13
"chr1_70244627" 4 6 9
"chr1_70247535" 10 14 15
"chr1_70252189" 1 1 1
"chr1_70257193" 15 20 22
"chr1_70269927" 5 8 11
"chr1_70302724" 4 5 5
"chr1_70312842" 24 37 37
"chr1_70332850" 4 5 5
"chr1_70337083" 4 7 10
"chr1_70339536" 17 21 25
"chr1_70353513" 14 17 17
"chr1_70355482" 6 8 9
"chr1_70358739" 7 10 7
"chr1_70371088" 1 2 6
"chr1_70377867" 1 1 1
"chr1_70396897" 4 6 13
"chr1_70401200" 50 68 67
"chr1_70410412" 4 5 7
"chr1_70415593" 15 18 19
"chr1_70418484" 4 5 4
"chr1_70423226" 1 2 2
"chr1_70427971" 45 60 57
"chr1_70440423" 7 10 12
"chr1_70480947" 1 2 1
"chr1_70501900" 1 1 1
"chr1_70505404" 26 31 30
"chr1_70510187" 1 1 1
"chr1_70534929" 3 3 3
"chr1_70543509" 4 5 4
"chr1_70548918" 1 1 1
"chr1_70586956" 28 40 41
"chr1_70592495" 3 4 7
"chr1_70595677" 3 3 3
"chr1_70605833" 20 22 21
"chr1_70615004" 7 8 7
"chr1_70623819" 44 49 50
"chr1_70628404" 4 6 9
"chr1_70633830" 4 7 7
"chr1_70637382" 3 5 8
"chr1_70646300" 20 32 34
"chr1_70654380" 1 1 2
"chr1_70663595" 8 10 10
"chr1_70668010" 47 56 56
"chr1_70698883" 3 5 4
"chr1_70720378" 1 1 2
"chr1_70723562" 20 23 22
"chr1_70729700" 25 29 28
"chr1_70737183" 31 38 36
"chr1_70747218" 1 1 1
"chr1_70765770" 4 5 4
"chr1_70774371" 1 1 3
"chr1_70792340" 1 2 1
"chr1_70825599" 5 6 6
"chr1_70834287" 33 44 46
"chr1_70843667" 26 33 36
"chr1_70857435" 1 1 1
"chr1_70872232" 1 1 3
"chr1_70886430" 2 3 4
"chr1_70897814" 1 1 1
"chr1_70899675" 2 2 2
"chr1_70964702" 4 5 7
"chr1_70989829" 17 26 28
"chr1_71000858" 18 22 22
"chr1_71003141" 43 53 56
"chr1_71006813" 57 71 71
"chr1_71015948" 23 35 31
"chr1_71036587" 2 2 3
"chr1_71044447" 1 1 1
"chr1_71046457" 1 1 1
"chr1_71077236" 41 48 49
"chr1_71079105" 20 36 47
"chr1_71081033" 1 1 1
"chr1_71082934" 32 42 43
"chr1_71088209" 10 12 11
"chr1_71091676" 1 1 2
"chr1_71095191" 3 4 4
"chr1_71117217" 4 5 5
"chr1_71124685" 2 3 4
"chr1_71127561" 40 57 55
"chr1_71138365" 5 7 7
"chr1_71140762" 3 4 4
"chr1_71143095" 11 18 19
"chr1_71145546" 2 4 5
"chr1_71149647" 11 18 19
"chr1_71173112" 6 8 10
"chr1_71181591" 2 4 9
"chr1_71185673" 1 2 4
"chr1_71188867" 4 5 4
"chr1_71196913" 10 15 17
"chr1_71199700" 13 19 18
"chr1_71203479" 7 12 13
"chr1_71206467" 47 62 63
"chr1_71208952" 1 2 5
"chr1_71221709" 2 4 4
"chr1_71225956" 12 19 19
"chr1_71229279" 1 2 4
"chr1_71234201" 7 11 11
"chr1_71243628" 2 3 2
"chr1_71246161" 6 10 13
"chr1_71249241" 6 11 11
"chr1_71251433" 12 23 22
"chr1_71253992" 2 4 3
"chr1_71273425" 32 45 49
"chr1_71295391" 6 11 20
"chr1_71299113" 16 27 22
"chr1_71302992" 1 1 2
"chr1_71305045" 2 3 2
"chr1_71307614" 15 23 20
"chr1_71323520" 2 3 2
"chr1_71326194" 14 20 20
"chr1_71328977" 5 6 5
"chr1_71330750" 12 14 14
"chr1_71334594" 10 16 14
"chr1_71340903" 17 21 18
"chr1_71348141" 7 9 10
"chr1_71350555" 2 3 3
"chr1_71359172" 1 2 1
"chr1_71361903" 3 5 4
"chr1_71371133" 52 67 65
"chr1_71404958" 4 5 6
"chr1_71407880" 1 1 1
"chr1_71425328" 4 5 5
"chr1_71444243" 4 6 8
"chr1_71452603" 2 3 2
"chr1_71468332" 3 4 8
"chr1_71471315" 1 1 1
"chr1_71475220" 48 63 61
"chr1_71491920" 3 3 3
"chr1_71501333" 26 45 51
"chr1_71505957" 1 2 3
"chr1_71538926" 57 71 69
"chr1_71542447" 1 1 2
"chr1_71545046" 6 9 7
"chr1_71551119" 3 5 11
"chr1_71587511" 46 53 53
"chr1_71590763" 37 50 54
"chr1_71599292" 40 63 66
"chr1_71602837" 4 5 5
"chr1_71609778" 2 3 6
"chr1_71657323" 8 15 24
"chr1_71689288" 42 47 47
"chr1_71696191" 31 39 40
"chr1_71698605" 1 1 3
"chr1_71701623" 39 44 45
